#separator:tab
#html:true
"<div id=""kard"">
<div class=""tags"">MileDown::General_Chemistry::Atomic_Structure</div>
<img src=""Element Notation (1).png""><div><br><div><div>In element notation, A is the<font color=""#e12727"">&nbsp;</font><span class=""cloze"" data-cloze=""Mass&#x20;number"" data-ordinal=""1"">[...]</span></div></div></div>
</div>"	"<div id=""kard"">
    <div class=""tags"" id='tags'>MileDown::General_Chemistry::Atomic_Structure</div>
    <img src=""Element Notation (1).png""><div><br><div><div>In element notation, A is the<font color=""#e12727"">&nbsp;</font><span class=""cloze"" data-ordinal=""1"">Mass number</span></div></div></div>
    <div>&nbsp;</div>
    <div id='extra'><div><img src=""Mass Number.png"" /></div><div><br /></div>
<a href=""https://www.khanacademy.org/science/biology/chemistry--of-life/elements-and-atoms/v/introduction-to-the-atom"">Khan Academy Link</a></div>
</div>"
"<div id=""kard"">
<div class=""tags"">MileDown::Behavioral::Social::Social_Structure</div>
<span class=""cloze"" data-cloze=""Individualistic"" data-ordinal=""1"">[...]</span> cultures prioritize the <b>individual over the entire group</b>. These cultures are oriented around the self, being independent instead of identifying with a group mentality<br>
</div>"	"<div id=""kard"">
    <div class=""tags"" id='tags'>MileDown::Behavioral::Social::Social_Structure</div>
    <span class=""cloze"" data-ordinal=""1"">Individualistic</span> cultures prioritize the <b>individual over the entire group</b>. These cultures are oriented around the self, being independent instead of identifying with a group mentality<br>
    <div>&nbsp;</div>
    <div id='extra'><div>Western Europe and the United States</div><div><br></div><img src=""Individualistic Cultures.png""><div><br></div><div><a href=""https://www.khanacademy.org/test-prep/mcat/individuals-and-society/perception-prejudice-and-bias/v/attribution-theory-attribution-error-and-culture"">Khan Academy Link</a></div></div>
</div>"
"<div id=""kard"">
<div class=""tags"">MileDown::Behavioral::Social::Social_Structure</div>
<span class=""cloze"" data-cloze=""Collectivistic"" data-ordinal=""1"">[...]</span>&nbsp;cultures&nbsp;emphasize the needs and goals of the <i>group</i> as a whole over the needs and desires of each individual<br>
</div>"	"<div id=""kard"">
    <div class=""tags"" id='tags'>MileDown::Behavioral::Social::Social_Structure</div>
    <span class=""cloze"" data-ordinal=""1"">Collectivistic</span>&nbsp;cultures&nbsp;emphasize the needs and goals of the <i>group</i> as a whole over the needs and desires of each individual<br>
    <div>&nbsp;</div>
    <div id='extra'><img src=""Collectivistic Cultures.png""><div><br></div><div><a href=""https://www.khanacademy.org/test-prep/mcat/individuals-and-society/perception-prejudice-and-bias/v/attribution-theory-attribution-error-and-culture"">Khan Academy Link</a></div></div>
</div>"
"<div id=""kard"">
<div class=""tags"">MileDown::Behavioral::Cognition::Problem_Solving</div>
<div><span class=""cloze"" data-cloze=""Optimism&#x20;bias"" data-ordinal=""1"">[... bias]</span> is belief bad things happen to others, but not to us</div>
</div>"	"<div id=""kard"">
    <div class=""tags"" id='tags'>MileDown::Behavioral::Cognition::Problem_Solving</div>
    <div><span class=""cloze"" data-ordinal=""1"">Optimism bias</span> is belief bad things happen to others, but not to us</div>
    <div>&nbsp;</div>
    <div id='extra'><img src=""Optimism Bias.png""><div><br></div><div><a href=""https://www.youtube.com/watch?v=fIgEH6eo7_4"">YouTube Link</a></div></div>
</div>"
"<div id=""kard"">
<div class=""tags"">MileDown::Behavioral::Social::Social_Behavior</div>
<div>The <span class=""cloze"" data-cloze=""frustration&#x20;aggression&#x20;hypothesis"" data-ordinal=""1"">[... hypothesis]</span> states that <i>aggression</i> is the result of blocking, or frustrating, a person's efforts to attain a goal</div>
</div>"	"<div id=""kard"">
    <div class=""tags"" id='tags'>MileDown::Behavioral::Social::Social_Behavior</div>
    <div>The <span class=""cloze"" data-ordinal=""1"">frustration aggression hypothesis</span> states that <i>aggression</i> is the result of blocking, or frustrating, a person's efforts to attain a goal</div>
    <div>&nbsp;</div>
    <div id='extra'><img src=""Frustration Aggression Hypothesis.jpg""><div><br></div><div><a href=""https://www.khanacademy.org/test-prep/mcat/individuals-and-society/perception-prejudice-and-bias/v/emotion-and-cognition-in-prejudice"">Khan Academy Link</a></div></div>
</div>"
"<div id=""kard"">
<div class=""tags"">MileDown::Behavioral::Social::Social_Behavior</div>
<span class=""cloze"" data-cloze=""Scapegoating"" data-ordinal=""1"">[...]</span> is the practice of singling out a person or group for <b>unmerited blame</b> and consequent negative treatment<br>
</div>"	"<div id=""kard"">
    <div class=""tags"" id='tags'>MileDown::Behavioral::Social::Social_Behavior</div>
    <span class=""cloze"" data-ordinal=""1"">Scapegoating</span> is the practice of singling out a person or group for <b>unmerited blame</b> and consequent negative treatment<br>
    <div>&nbsp;</div>
    <div id='extra'><img src=""Scapegoating.jpg""><div><br></div><div><a href=""https://www.khanacademy.org/test-prep/mcat/individuals-and-society/perception-prejudice-and-bias/v/emotion-and-cognition-in-prejudice"">Khan Academy Link</a></div></div>
</div>"
"<div id=""kard"">
<div class=""tags"">MileDown::Behavioral::Social::Social_Behavior MileDown::Behavioral::Social::Social_Perception</div>
The <span class=""cloze"" data-cloze=""just&#x2D;world"" data-ordinal=""1"">[...]</span> phenomenon&nbsp;is the tendency to believe that <u>the world&nbsp;is&nbsp;just</u>&nbsp;and that people get what they deserve<br>
</div>"	"<div id=""kard"">
    <div class=""tags"" id='tags'>MileDown::Behavioral::Social::Social_Behavior MileDown::Behavioral::Social::Social_Perception</div>
    The <span class=""cloze"" data-ordinal=""1"">just-world</span> phenomenon&nbsp;is the tendency to believe that <u>the world&nbsp;is&nbsp;just</u>&nbsp;and that people get what they deserve<br>
    <div>&nbsp;</div>
    <div id='extra'><img src=""Just-World.jpg""><div><br></div><div><a href=""https://www.khanacademy.org/test-prep/mcat/individuals-and-society/perception-prejudice-and-bias/v/social-perception-the-just-world-hypothesis"">Khan Academy Link</a></div></div>
</div>"
"<div id=""kard"">
<div class=""tags"">MileDown::Behavioral::Social::Social_Perception</div>
The&nbsp;<span class=""cloze"" data-cloze=""halo&#x20;effect"" data-ordinal=""1"">[...]</span>&nbsp;is a type of cognitive bias in which our <u>overall impression</u> of a person influences how we feel and think about his or her character<br>
</div>"	"<div id=""kard"">
    <div class=""tags"" id='tags'>MileDown::Behavioral::Social::Social_Perception</div>
    The&nbsp;<span class=""cloze"" data-ordinal=""1"">halo effect</span>&nbsp;is a type of cognitive bias in which our <u>overall impression</u> of a person influences how we feel and think about his or her character<br>
    <div>&nbsp;</div>
    <div id='extra'>Essentially, your overall impression of a person (""He is nice!"") impacts your evaluations of that person's specific traits (""He is also smart!"")<div><br></div><div><div>Example: The <b>physical attractiveness stereotype</b>. We believe attractive people have more positive personality traits</div><div><br></div><div><img src=""Halo Effect.jpg""></div><div><br></div><div><a href=""https://www.khanacademy.org/test-prep/mcat/individuals-and-society/perception-prejudice-and-bias/v/social-perception-the-halo-effect"">Khan Academy Link</a><br></div></div></div>
</div>"
"<div id=""kard"">
<div class=""tags"">MileDown::Behavioral::Social::Social_Perception</div>
<span class=""cloze"" data-cloze=""Ethnography"" data-ordinal=""1"">[...]</span> is the systematic study of <u>people and cultures</u><br>
</div>"	"<div id=""kard"">
    <div class=""tags"" id='tags'>MileDown::Behavioral::Social::Social_Perception</div>
    <span class=""cloze"" data-ordinal=""1"">Ethnography</span> is the systematic study of <u>people and cultures</u><br>
    <div>&nbsp;</div>
    <div id='extra'><img src=""Ethnography.jpg""><div><br></div><div><a href=""https://www.youtube.com/watch?v=aOBh8haj4E0"">YouTube Link</a></div></div>
</div>"
"<div id=""kard"">
<div class=""tags"">MileDown::Behavioral::Social::Social_Perception</div>
<span class=""cloze"" data-cloze=""Xenocentrism"" data-ordinal=""1"">[...]</span>&nbsp;is the preference for the products, styles, or ideas of <b>someone else's culture</b> rather than of one's own<br>
</div>"	"<div id=""kard"">
    <div class=""tags"" id='tags'>MileDown::Behavioral::Social::Social_Perception</div>
    <span class=""cloze"" data-ordinal=""1"">Xenocentrism</span>&nbsp;is the preference for the products, styles, or ideas of <b>someone else's culture</b> rather than of one's own<br>
    <div>&nbsp;</div>
    <div id='extra'><img src=""Xenocentrism.jpg""><br></div>
</div>"
"<div id=""kard"">
<div class=""tags"">MileDown::Behavioral::Social::Social_Perception</div>
<div><span class=""cloze"" data-cloze=""Cultural&#x20;imperialism"" data-ordinal=""1"">[...]</span> is the deliberate imposition of one’s own <i>cultural values</i> on another culture</div>
</div>"	"<div id=""kard"">
    <div class=""tags"" id='tags'>MileDown::Behavioral::Social::Social_Perception</div>
    <div><span class=""cloze"" data-ordinal=""1"">Cultural imperialism</span> is the deliberate imposition of one’s own <i>cultural values</i> on another culture</div>
    <div>&nbsp;</div>
    <div id='extra'><img src=""Cultural Imperialism.jpg""><br></div>
</div>"
"<div id=""kard"">
<div class=""tags"">MileDown::Behavioral::Social::Social_Interaction</div>
The <span class=""cloze"" data-cloze=""mere&#x2D;exposure&#x20;effect"" data-ordinal=""1"">[... effect]</span>&nbsp;is a psychological phenomenon by which people tend to develop a <b>preference</b> for things&nbsp;merely&nbsp;because they are familiar with them<br>
</div>"	"<div id=""kard"">
    <div class=""tags"" id='tags'>MileDown::Behavioral::Social::Social_Interaction</div>
    The <span class=""cloze"" data-ordinal=""1"">mere-exposure effect</span>&nbsp;is a psychological phenomenon by which people tend to develop a <b>preference</b> for things&nbsp;merely&nbsp;because they are familiar with them<br>
    <div>&nbsp;</div>
    <div id='extra'><img src=""Mere Exposure.jpg""><div><br></div><div><a href=""https://www.khanacademy.org/test-prep/mcat/individuals-and-society/social-behavior/v/proximity-and-the-mere-exposure-effect"">Khan Academy Link</a></div></div>
</div>"
"<div id=""kard"">
<div class=""tags"">MileDown::Behavioral::Social::Social_Perception</div>
The&nbsp;<span class=""cloze"" data-cloze=""false&#x20;consensus&#x20;effect"" data-ordinal=""1"">[... effect]</span>&nbsp;occurs when we overestimate the number of other people (or extent to which other people) <b>share our opinions</b>, beliefs, and behaviors<br>
</div>"	"<div id=""kard"">
    <div class=""tags"" id='tags'>MileDown::Behavioral::Social::Social_Perception</div>
    The&nbsp;<span class=""cloze"" data-ordinal=""1"">false consensus effect</span>&nbsp;occurs when we overestimate the number of other people (or extent to which other people) <b>share our opinions</b>, beliefs, and behaviors<br>
    <div>&nbsp;</div>
    <div id='extra'><img src=""False Consensus.jpg""><br><br><div><br></div><div><a href=""https://www.youtube.com/watch?v=TewiUcN35Yo"">YouTube Link</a></div></div>
</div>"
"<div id=""kard"">
<div class=""tags"">MileDown::Behavioral::Social::Social_Perception</div>
<div>A/an <span class=""cloze"" data-cloze=""projection&#x20;bias"" data-ordinal=""1"">[... bias]</span> is when we assume other share the same beliefs we do</div>
</div>"	"<div id=""kard"">
    <div class=""tags"" id='tags'>MileDown::Behavioral::Social::Social_Perception</div>
    <div>A/an <span class=""cloze"" data-ordinal=""1"">projection bias</span> is when we assume other share the same beliefs we do</div>
    <div>&nbsp;</div>
    <div id='extra'><img src=""Projection Bias.jpg""><br></div>
</div>"
"<div id=""kard"">
<div class=""tags"">MileDown::Behavioral::Social::Social_Interaction</div>
A/an&nbsp;<span class=""cloze"" data-cloze=""social&#x20;script"" data-ordinal=""1"">[...]</span>&nbsp;is a series of behaviors, actions, and consequences that are <b>expected</b> in a particular situation or environment<br>
</div>"	"<div id=""kard"">
    <div class=""tags"" id='tags'>MileDown::Behavioral::Social::Social_Interaction</div>
    A/an&nbsp;<span class=""cloze"" data-ordinal=""1"">social script</span>&nbsp;is a series of behaviors, actions, and consequences that are <b>expected</b> in a particular situation or environment<br>
    <div>&nbsp;</div>
    <div id='extra'><img src=""Social Scripts.jpg""><div><br></div><div><a href=""https://www.khanacademy.org/test-prep/mcat/individuals-and-society/social-behavior/v/aggression"">Khan Academy Link</a></div></div>
</div>"
"<div id=""kard"">
<div class=""tags"">MileDown::Behavioral::Social::Social_Interaction</div>
<span class=""cloze"" data-cloze=""Kin&#x20;selection"" data-ordinal=""1"">[...]</span> is the evolutionary strategy that favors the reproductive success of an animal's <i>relatives</i>, even at a cost to that animal's own survival<br>
</div>"	"<div id=""kard"">
    <div class=""tags"" id='tags'>MileDown::Behavioral::Social::Social_Interaction</div>
    <span class=""cloze"" data-ordinal=""1"">Kin selection</span> is the evolutionary strategy that favors the reproductive success of an animal's <i>relatives</i>, even at a cost to that animal's own survival<br>
    <div>&nbsp;</div>
    <div id='extra'><img src=""Kin Selection.jpg""><div><br></div><div><a href=""https://www.khanacademy.org/test-prep/mcat/individuals-and-society/social-behavior/v/altruism"">Khan Academy Link</a></div></div>
</div>"
"<div id=""kard"">
<div class=""tags"">MileDown::Behavioral::Social::Social_Interaction</div>
Altruism&nbsp;among <u>non-relatives</u> is called&nbsp;<span class=""cloze"" data-cloze=""reciprocal"" data-ordinal=""1"">[...]</span> altruism<br>
</div>"	"<div id=""kard"">
    <div class=""tags"" id='tags'>MileDown::Behavioral::Social::Social_Interaction</div>
    Altruism&nbsp;among <u>non-relatives</u> is called&nbsp;<span class=""cloze"" data-ordinal=""1"">reciprocal</span> altruism<br>
    <div>&nbsp;</div>
    <div id='extra'><img src=""Reciprocal Altruism 1.jpg""><div><br><div><img src=""Reciprocal Altruism.jpg""></div><div><br></div><div><a href=""https://www.khanacademy.org/test-prep/mcat/individuals-and-society/social-behavior/v/altruism"">Khan Academy Link</a><br></div></div></div>
</div>"
"<div id=""kard"">
<div class=""tags"">MileDown::Behavioral::Social::Social_Interaction</div>
The <span class=""cloze"" data-cloze=""costly&#x20;signaling&amp;nbsp&#x3B;theory"" data-ordinal=""1"">[... theory]</span>&nbsp;says that although&nbsp;costly, altruistic acts may benefit the altruist indirectly, by establishing a '<i>reputation</i>'<br>
</div>"	"<div id=""kard"">
    <div class=""tags"" id='tags'>MileDown::Behavioral::Social::Social_Interaction</div>
    The <span class=""cloze"" data-ordinal=""1"">costly signaling&nbsp;theory</span>&nbsp;says that although&nbsp;costly, altruistic acts may benefit the altruist indirectly, by establishing a '<i>reputation</i>'<br>
    <div>&nbsp;</div>
    <div id='extra'><img src=""Cost Signalling.jpg""><div><br></div><div><a href=""https://www.khanacademy.org/test-prep/mcat/individuals-and-society/social-behavior/v/altruism"">Khan Academy Link</a></div></div>
</div>"
"<div id=""kard"">
<div class=""tags"">MileDown::Behavioral::Social::Social_Behavior</div>
<span class=""cloze"" data-cloze=""Companionship&#x20;support"" data-ordinal=""1"">[... support]</span>&nbsp;is the type of&nbsp;support&nbsp;that gives someone a sense of <u>social belonging</u><br>
</div>"	"<div id=""kard"">
    <div class=""tags"" id='tags'>MileDown::Behavioral::Social::Social_Behavior</div>
    <span class=""cloze"" data-ordinal=""1"">Companionship support</span>&nbsp;is the type of&nbsp;support&nbsp;that gives someone a sense of <u>social belonging</u><br>
    <div>&nbsp;</div>
    <div id='extra'><img src=""Social Support (1).jpg""><div><br></div><div><a href=""https://www.khanacademy.org/test-prep/mcat/individuals-and-society/social-behavior/v/social-support"">Khan Academy Link</a></div></div>
</div>"
"<div id=""kard"">
<div class=""tags"">MileDown::Behavioral::Social::Social_Interaction MileDown::Behavioral::Social::Social_Perception</div>
<span class=""cloze"" data-cloze=""Institutionalized&#x20;discrimination"" data-ordinal=""1"">[...]</span> refers to the unjust and discriminatory mistreatment of an individual or group of individuals by <i>society and its institutions</i> as a whole<br>
</div>"	"<div id=""kard"">
    <div class=""tags"" id='tags'>MileDown::Behavioral::Social::Social_Interaction MileDown::Behavioral::Social::Social_Perception</div>
    <span class=""cloze"" data-ordinal=""1"">Institutionalized discrimination</span> refers to the unjust and discriminatory mistreatment of an individual or group of individuals by <i>society and its institutions</i> as a whole<br>
    <div>&nbsp;</div>
    <div id='extra'><img src=""Institutional Discrimination.jpg""><div><br></div><div><a href=""https://www.khanacademy.org/test-prep/mcat/individuals-and-society/discrimination/v/discrimination-individual-vs-institutional"">Khan Academy Link</a></div></div>
</div>"
"<div id=""kard"">
<div class=""tags"">MileDown::Behavioral::Social::Social_Interaction MileDown::Behavioral::Social::Social_Perception</div>
<span class=""cloze"" data-cloze=""Side&#x20;effect&#x20;discrimination"" data-ordinal=""1"">[...]</span>&nbsp;is a rule or practice unintentionally singles out particular people and results in <i>unfair treatment</i><br>
</div>"	"<div id=""kard"">
    <div class=""tags"" id='tags'>MileDown::Behavioral::Social::Social_Interaction MileDown::Behavioral::Social::Social_Perception</div>
    <span class=""cloze"" data-ordinal=""1"">Side effect discrimination</span>&nbsp;is a rule or practice unintentionally singles out particular people and results in <i>unfair treatment</i><br>
    <div>&nbsp;</div>
    <div id='extra'><img src=""Side Effect Discrimination.jpg""><div><br></div><div><a href=""https://www.khanacademy.org/test-prep/mcat/individuals-and-society/discrimination/v/discrimination-individual-vs-institutional"">Khan Academy Link</a></div></div>
</div>"
"<div id=""kard"">
<div class=""tags"">MileDown::Behavioral::Social::Social_Interaction MileDown::Behavioral::Social::Social_Perception</div>
<span class=""cloze"" data-cloze=""Past&#x2D;in&#x2D;present&#x20;discrimination"" data-ordinal=""1"">[...]</span> is discrimination&nbsp;from the&nbsp;<u>past</u>&nbsp;that is still affecting people today<br>
</div>"	"<div id=""kard"">
    <div class=""tags"" id='tags'>MileDown::Behavioral::Social::Social_Interaction MileDown::Behavioral::Social::Social_Perception</div>
    <span class=""cloze"" data-ordinal=""1"">Past-in-present discrimination</span> is discrimination&nbsp;from the&nbsp;<u>past</u>&nbsp;that is still affecting people today<br>
    <div>&nbsp;</div>
    <div id='extra'><img src=""Side Effect Discrimination.jpg""><div><br></div><div><a href=""https://www.khanacademy.org/test-prep/mcat/individuals-and-society/discrimination/v/discrimination-individual-vs-institutional"">Khan Academy Link</a></div></div>
</div>"
"<div id=""kard"">
<div class=""tags"">MileDown::Behavioral::Social::Social_Interaction</div>
A&nbsp;<span class=""cloze"" data-cloze=""utilitarian&#x20;organization"" data-ordinal=""1"">[... organization]</span>, also known as a remunerative&nbsp;organization, is a group of individuals who join in order to receive a <u>monetary reward</u> or some other benefit that is offered to members of that&nbsp;organization&nbsp;<br>
</div>"	"<div id=""kard"">
    <div class=""tags"" id='tags'>MileDown::Behavioral::Social::Social_Interaction</div>
    A&nbsp;<span class=""cloze"" data-ordinal=""1"">utilitarian organization</span>, also known as a remunerative&nbsp;organization, is a group of individuals who join in order to receive a <u>monetary reward</u> or some other benefit that is offered to members of that&nbsp;organization&nbsp;<br>
    <div>&nbsp;</div>
    <div id='extra'><img src=""Utilitarian Organizations.jpg""><div><br></div><div><a href=""https://www.khanacademy.org/test-prep/mcat/individuals-and-society/social-interactions/v/organizations-and-bureaucratization"">Khan Academy Link</a></div></div>
</div>"
"<div id=""kard"">
<div class=""tags"">MileDown::Behavioral::Social::Social_Interaction</div>
<span class=""cloze"" data-cloze=""Normative&#x20;organizations"" data-ordinal=""1"">[... organizations]</span>&nbsp;have voluntary membership based on <b>shared goals and interests</b><br>
</div>"	"<div id=""kard"">
    <div class=""tags"" id='tags'>MileDown::Behavioral::Social::Social_Interaction</div>
    <span class=""cloze"" data-ordinal=""1"">Normative organizations</span>&nbsp;have voluntary membership based on <b>shared goals and interests</b><br>
    <div>&nbsp;</div>
    <div id='extra'><div><img src=""Normative Organizations.jpg""></div><div><br></div><div><a href=""https://www.khanacademy.org/test-prep/mcat/individuals-and-society/social-interactions/v/organizations-and-bureaucratization"">Khan Academy Link</a><br></div></div>
</div>"
"<div id=""kard"">
<div class=""tags"">MileDown::Behavioral::Social::Social_Interaction</div>
A <b>prison</b> is an example of a&nbsp;<span class=""cloze"" data-cloze=""coercive&#x20;organization"" data-ordinal=""1"">[... organization]</span>, which maintains control through <i>force</i><br>
</div>"	"<div id=""kard"">
    <div class=""tags"" id='tags'>MileDown::Behavioral::Social::Social_Interaction</div>
    A <b>prison</b> is an example of a&nbsp;<span class=""cloze"" data-ordinal=""1"">coercive organization</span>, which maintains control through <i>force</i><br>
    <div>&nbsp;</div>
    <div id='extra'><img src=""Coersive Organization.jpg""><div><br></div><div><a href=""https://www.khanacademy.org/test-prep/mcat/individuals-and-society/social-interactions/v/organizations-and-bureaucratization"">Khan Academy Link</a><br></div></div>
</div>"
"<div id=""kard"">
<div class=""tags"">MileDown::Behavioral::Social::Social_Interaction</div>
<span class=""cloze"" data-cloze=""McDonaldization"" data-ordinal=""1"">[...]</span>&nbsp;of society is a phenomenon that occurs when society, its institutions, and its organizations are adapted to have the same characteristics that are found in <b>fast food chains</b>. These include <u>efficiency</u>, <u>calculability</u>, <u>predictability</u> and <u>standardization&nbsp;and control</u><br>
</div>"	"<div id=""kard"">
    <div class=""tags"" id='tags'>MileDown::Behavioral::Social::Social_Interaction</div>
    <span class=""cloze"" data-ordinal=""1"">McDonaldization</span>&nbsp;of society is a phenomenon that occurs when society, its institutions, and its organizations are adapted to have the same characteristics that are found in <b>fast food chains</b>. These include <u>efficiency</u>, <u>calculability</u>, <u>predictability</u> and <u>standardization&nbsp;and control</u><br>
    <div>&nbsp;</div>
    <div id='extra'><img src=""McDonalds.jpg""><div><br></div><div><a href=""https://www.khanacademy.org/test-prep/mcat/individuals-and-society/social-interactions/v/organizations-and-bureaucratization"">Khan Academy Link</a></div></div>
</div>"
"<div id=""kard"">
<div class=""tags"">MileDown::Behavioral::Social::Social_Interaction</div>
<span class=""cloze"" data-cloze=""Autocommunication"" data-ordinal=""1"">[...]</span> is&nbsp;communication to oneself<br>
</div>"	"<div id=""kard"">
    <div class=""tags"" id='tags'>MileDown::Behavioral::Social::Social_Interaction</div>
    <span class=""cloze"" data-ordinal=""1"">Autocommunication</span> is&nbsp;communication to oneself<br>
    <div>&nbsp;</div>
    <div id='extra'><img src=""Autocommunication.jpg""><div><br></div><div><a href=""https://www.khanacademy.org/science/biology/behavioral-biology/animal-behavior/v/animal-communication"">Khan Academy Link</a></div></div>
</div>"
"<div id=""kard"">
<div class=""tags"">MileDown::Behavioral::Social::Social_Interaction</div>
<span class=""cloze"" data-cloze=""Anthropomorphism"" data-ordinal=""1"">[...]</span> is the attribution of human traits, emotions, or intentions to <b>non-human entities</b><br>
</div>"	"<div id=""kard"">
    <div class=""tags"" id='tags'>MileDown::Behavioral::Social::Social_Interaction</div>
    <span class=""cloze"" data-ordinal=""1"">Anthropomorphism</span> is the attribution of human traits, emotions, or intentions to <b>non-human entities</b><br>
    <div>&nbsp;</div>
    <div id='extra'><img src=""Anthromorphism.jpg""><div><br></div><div><a href=""https://www.khanacademy.org/science/biology/behavioral-biology/animal-behavior/v/animal-communication"">Khan Academy Link</a></div></div>
</div>"
"<div id=""kard"">
<div class=""tags"">MileDown::Behavioral::Social::Social_Behavior</div>
<span class=""cloze"" data-cloze=""Random&#x20;mating"" data-ordinal=""1"">[...]</span>&nbsp;describes an ideal situation in which all individuals on one sex are <b>equally</b> potential partners of all members of the opposite sex<br>
</div>"	"<div id=""kard"">
    <div class=""tags"" id='tags'>MileDown::Behavioral::Social::Social_Behavior</div>
    <span class=""cloze"" data-ordinal=""1"">Random mating</span>&nbsp;describes an ideal situation in which all individuals on one sex are <b>equally</b> potential partners of all members of the opposite sex<br>
    <div>&nbsp;</div>
    <div id='extra'>The technical term for it is <i>panmixia</i><div><br></div><div>Random mating&nbsp;is one of the requirements for the <u>Hardy–Weinberg law</u> to hold true<br></div><div><br></div><div><img src=""Random Mating.gif""></div><div><br></div><div><img src=""Random Mating 2.jpg""></div><div><br></div><div><a href=""https://www.khanacademy.org/science/biology/her/heredity-and-genetics/a/hardy-weinberg-mechanisms-of-evolution"">Khan Academy Link</a><br></div></div>
</div>"
"<div id=""kard"">
<div class=""tags"">MileDown::Behavioral::Social::Social_Behavior</div>
<div><span class=""cloze"" data-cloze=""Assortative&#x20;mating"" data-ordinal=""1"">[...]</span> is when individuals with <u>similar phenotypes </u>mate with one another more frequently than would be expected under a random&nbsp;mating&nbsp;pattern</div>
</div>"	"<div id=""kard"">
    <div class=""tags"" id='tags'>MileDown::Behavioral::Social::Social_Behavior</div>
    <div><span class=""cloze"" data-ordinal=""1"">Assortative mating</span> is when individuals with <u>similar phenotypes </u>mate with one another more frequently than would be expected under a random&nbsp;mating&nbsp;pattern</div>
    <div>&nbsp;</div>
    <div id='extra'><div><img src=""Assortive Mating.gif""></div><div><br></div><div><img src=""Assortive Mating 2.jpg""></div><div><br></div><div><a href=""https://www.khanacademy.org/science/biology/her/heredity-and-genetics/a/hardy-weinberg-mechanisms-of-evolution"">Khan Academy Link</a><br></div></div>
</div>"
"<div id=""kard"">
<div class=""tags"">MileDown::Behavioral::Social::Social_Behavior</div>
<span class=""cloze"" data-cloze=""Evolutionary&#x20;game&#x20;theory"" data-ordinal=""1"">[... theory]</span> is the application of <u>game theory</u> to evolving populations in biology. It defines a framework of <b>contests</b>, <b>strategies</b>, and <b>analytics</b> into which Darwinian competition can be modelled<br>
</div>"	"<div id=""kard"">
    <div class=""tags"" id='tags'>MileDown::Behavioral::Social::Social_Behavior</div>
    <span class=""cloze"" data-ordinal=""1"">Evolutionary game theory</span> is the application of <u>game theory</u> to evolving populations in biology. It defines a framework of <b>contests</b>, <b>strategies</b>, and <b>analytics</b> into which Darwinian competition can be modelled<br>
    <div>&nbsp;</div>
    <div id='extra'><img src=""Evolutionary Game Theory.jpg""><div><br><div><img src=""Evolutionary Game Theory 2.jpg""></div><div><br></div><div><a href=""https://www.khanacademy.org/test-prep/mcat/individuals-and-society/biological-explanations-of-social-behavior-in-animals/v/evolutionary-game-theory"">Khan Academy Link</a><br></div></div></div>
</div>"
"<div id=""kard"">
<div class=""tags"">MileDown::Behavioral::Social::Social_Structure</div>
<span class=""cloze"" data-cloze=""Hidden&#x20;curriculum"" data-ordinal=""1"">[...]</span>&nbsp;refers to the <u>unwritten, unofficial, and often unintended lessons</u>, values, and perspectives that students learn in school<br>
</div>"	"<div id=""kard"">
    <div class=""tags"" id='tags'>MileDown::Behavioral::Social::Social_Structure</div>
    <span class=""cloze"" data-ordinal=""1"">Hidden curriculum</span>&nbsp;refers to the <u>unwritten, unofficial, and often unintended lessons</u>, values, and perspectives that students learn in school<br>
    <div>&nbsp;</div>
    <div id='extra'><img src=""Hidden Curriculum.jpg""><div><br></div><div><a href=""https://www.khanacademy.org/test-prep/mcat/society-and-culture/social-structures/v/institutions-education-family-religion"">Khan Academy Link</a></div></div>
</div>"
"<div id=""kard"">
<div class=""tags"">MileDown::Behavioral::Social::Social_Structure</div>
<div><span class=""cloze"" data-cloze=""Secularization"" data-ordinal=""1"">[...]</span> is the <b>weakening of social and political power of religious organizations</b> as religious involvement declines</div>
</div>"	"<div id=""kard"">
    <div class=""tags"" id='tags'>MileDown::Behavioral::Social::Social_Structure</div>
    <div><span class=""cloze"" data-ordinal=""1"">Secularization</span> is the <b>weakening of social and political power of religious organizations</b> as religious involvement declines</div>
    <div>&nbsp;</div>
    <div id='extra'><img src=""Secularization.jpg""><div><br></div><div><a href=""https://www.khanacademy.org/test-prep/mcat/society-and-culture/social-structures/v/institutions-education-family-religion"">Khan Academy Link</a></div></div>
</div>"
"<div id=""kard"">
<div class=""tags"">MileDown::Behavioral::Social::Social_Structure</div>
<div><span class=""cloze"" data-cloze=""Fundamentalism"" data-ordinal=""1"">[...]</span> is a reaction to secularization in which members of a religion develop <i>strict religious beliefs</i></div>
</div>"	"<div id=""kard"">
    <div class=""tags"" id='tags'>MileDown::Behavioral::Social::Social_Structure</div>
    <div><span class=""cloze"" data-ordinal=""1"">Fundamentalism</span> is a reaction to secularization in which members of a religion develop <i>strict religious beliefs</i></div>
    <div>&nbsp;</div>
    <div id='extra'><img src=""Fundamentalism.jpg""><div><br></div><div><a href=""https://www.khanacademy.org/test-prep/mcat/society-and-culture/social-structures/v/institutions-education-family-religion"">Khan Academy Link</a><br></div></div>
</div>"
